DATE,CLOUDINESS,HUMIDITY,MAX_TEMP,MIN_TEMP,MEAN_TEMP,PRECIPITATION
1958-10-30,1.0,0.921875,0.3880597014925373,0.6273584905660378,0.49523809523809526,0.0
1958-10-31,1.0,0.96875,0.42643923240938164,0.6462264150943396,0.5285714285714286,0.2173202614379085
1958-11-01,0.5,0.8125,0.5031982942430704,0.5872641509433962,0.5261904761904762,0.0196078431372549
1958-11-02,1.0,0.859375,0.4157782515991471,0.6155660377358491,0.5095238095238095,0.0784313725490196
1958-11-03,1.0,0.96875,0.4840085287846482,0.6320754716981132,0.5476190476190477,0.016339869281045753
1958-11-04,0.875,0.890625,0.4925373134328358,0.6698113207547169,0.569047619047619,0.006535947712418301
1958-11-05,0.875,0.921875,0.4520255863539446,0.6273584905660378,0.5380952380952381,0.0
1958-11-06,0.625,0.890625,0.4690831556503198,0.6297169811320755,0.5357142857142857,0.0
1958-11-07,0.875,0.96875,0.4562899786780384,0.6202830188679245,0.5428571428571428,0.04411764705882353
1958-11-08,1.0,0.96875,0.4840085287846482,0.6839622641509434,0.5857142857142857,0.06209150326797386
1958-11-09,0.625,0.796875,0.4690831556503198,0.6061320754716981,0.5214285714285715,0.013071895424836602
1958-11-10,0.5,0.9375,0.44136460554371004,0.4834905660377358,0.43333333333333335,0.0
1958-11-11,0.625,0.953125,0.3368869936034115,0.45754716981132076,0.37857142857142856,0.0016339869281045752
1958-11-12,1.0,0.96875,0.2899786780383795,0.5117924528301887,0.39285714285714285,0.0016339869281045752
1958-11-13,1.0,0.90625,0.3795309168443497,0.4834905660377358,0.4142857142857143,0.0016339869281045752
1958-11-14,0.625,0.765625,0.4690831556503198,0.589622641509434,0.5261904761904762,0.0
1958-11-15,0.0,0.875,0.47547974413646055,0.4882075471698113,0.44047619047619047,0.0
1958-11-16,0.25,0.953125,0.43070362473347545,0.4811320754716981,0.42142857142857143,0.0032679738562091504
1958-11-17,0.875,0.875,0.4136460554371002,0.5943396226415094,0.48333333333333334,0.0
1958-11-18,0.5,0.828125,0.44776119402985076,0.5919811320754716,0.5047619047619047,0.0
1958-11-19,0.375,0.9375,0.42857142857142855,0.5141509433962265,0.45714285714285713,0.0016339869281045752
1958-11-20,0.625,0.875,0.3837953091684435,0.4834905660377358,0.4357142857142857,0.0016339869281045752
1958-11-21,0.875,0.84375,0.37100213219616207,0.5613207547169812,0.45714285714285713,0.0
1958-11-22,1.0,0.875,0.3390191897654584,0.5566037735849056,0.4380952380952381,0.0
1958-11-23,1.0,0.90625,0.3347547974413646,0.5919811320754716,0.44761904761904764,0.0
1958-11-24,1.0,0.9375,0.32196162046908317,0.5778301886792453,0.43333333333333335,0.0
1958-11-25,1.0,0.8125,0.32196162046908317,0.5707547169811321,0.430952380952381,0.0
1958-11-26,1.0,0.84375,0.40298507462686567,0.5849056603773585,0.48095238095238096,0.0
1958-11-27,1.0,1.0,0.43070362473347545,0.6485849056603774,0.5261904761904762,0.027777777777777776
1958-11-28,1.0,0.875,0.3880597014925373,0.5801886792452831,0.4738095238095238,0.0
1958-11-29,1.0,0.71875,0.3049040511727079,0.5400943396226415,0.4095238095238095,0.0
1958-11-30,0.75,0.890625,0.29850746268656714,0.5,0.3880952380952381,0.006535947712418301
1958-12-01,0.25,0.890625,0.42643923240938164,0.44339622641509435,0.4119047619047619,0.0016339869281045752
1958-12-02,0.75,0.96875,0.3091684434968017,0.41509433962264153,0.3595238095238095,0.004901960784313725
1958-12-03,0.75,0.96875,0.42643923240938164,0.5023584905660378,0.45,0.0
1958-12-04,1.0,1.0,0.34968017057569295,0.5518867924528302,0.4523809523809524,0.0
1958-12-05,0.75,0.859375,0.39872068230277186,0.5636792452830188,0.4642857142857143,0.008169934640522876
1958-12-06,0.25,0.84375,0.4051172707889126,0.44339622641509435,0.4142857142857143,0.008169934640522876
1958-12-07,0.875,0.890625,0.34754797441364604,0.4339622641509434,0.39285714285714285,0.0016339869281045752
1958-12-08,0.875,0.8125,0.3049040511727079,0.5141509433962265,0.3880952380952381,0.011437908496732025
